keys,ko,en
%d장 중 %d장 발급,%d장 중 %d장 발급,
'짬' 획득 범위 +25%,'짬' 획득 범위 +25%,
'짬' 획득량 +20%,'짬' 획득량 +20%,
20분을 버텨 위병소를 통과했다.,20분을 버텨 위병소를 통과했다.,
2D 라이팅,2D 라이팅,
3점사 관통. 뒤에 있는 놈까지 뚫는다.,3점사 관통. 뒤에 있는 놈까지 뚫는다.,
5발 동시 투척. 시야가 사라지는 건 적 사정이다.,5발 동시 투척. 시야가 사라지는 건 적 사정이다.,
CS가스 구름,CS가스 구름,
D-%d 에서 쓰러졌다.\n\n처치 %d,D-%d 에서 쓰러졌다.\n\n처치 %d,
FPS %5.1f   프레임 %5.2fms   최악 %5.2fms,FPS %5.1f   프레임 %5.2fms   최악 %5.2fms,
K-2식 소총,K-2식 소총,
P X   보  급  품,P X   보  급  품,
P X   상 점,P X   상 점,
t %.1fs (D-%d)   비디오메모리 %.1fMB,t %.1fs (D-%d)   비디오메모리 %.1fMB,
가장 가까운 적에게 알아서 나간다. 영점은 안 맞는다.,가장 가까운 적에게 알아서 나간다. 영점은 안 맞는다.,
가장 가까운 적에게 자동 사격,가장 가까운 적에게 자동 사격,
각목,각목,
건빵,건빵,
건빵 추가 배급,건빵 추가 배급,
검열 통과,검열 통과,
계급장,계급장,
공격 속도가 빠르다. 요령이 붙었다.,공격 속도가 빠르다. 요령이 붙었다.,
공격력 +15%,공격력 +15%,
관물대,관물대,
관물대에 하나 숨겨 둔다. 쓰러져도 한 번 일어난다.,관물대에 하나 숨겨 둔다. 쓰러져도 한 번 일어난다.,
국기하강식,국기하강식,
굴삭기,굴삭기,
귀하는 위 기간 성실히 복무하였기에\n이 증서를 수여함.\n\n처치 %d,귀하는 위 기간 성실히 복무하였기에\n이 증서를 수여함.\n\n처치 %d,
글로우,글로우,
급수차,급수차,
기본 훈련장. 탁 트여 있다.,기본 훈련장. 탁 트여 있다.,
기상나팔,기상나팔,
김이병,김이병,
낙엽,낙엽,
"누적 1,000마리를 치웠다.","누적 1,000마리를 치웠다.",
"누적 10,000마리를 치웠다. 눈은 계속 온다.","누적 10,000마리를 치웠다. 눈은 계속 온다.",
"누적 50,000마리. 이쯤이면 연병장이 집이다.","누적 50,000마리. 이쯤이면 연병장이 집이다.",
"누적 월급 30,000원. 전역하면 뭐 사지.","누적 월급 30,000원. 전역하면 뭐 사지.",
눈덩이,눈덩이,
눈보라,눈보라,
눈보라가 시야를 가린다. 월급이 잘 나온다.,눈보라가 시야를 가린다. 월급이 잘 나온다.,
다연장 발연통,다연장 발연통,
당직사관,당직사관,
대대장 순시,대대장 순시,
대형 이동 장판. 지나간 자리가 전부 물바다.,대형 이동 장판. 지나간 자리가 전부 물바다.,
던지면 터지고 연기가 남는다. 연기도 아프다.,던지면 터지고 연기가 남는다. 연기도 아프다.,
데미지 넘버,데미지 넘버,
돌아가기,돌아가기,
뒤에 흘려 적을 끌어당긴다,뒤에 흘려 적을 끌어당긴다,
뒤에 흘려두면 알아서 몰려든다. 그리고 아파한다.,뒤에 흘려두면 알아서 몰려든다. 그리고 아파한다.,
드로우콜 %d   오브젝트 %d   정점 %d,드로우콜 %d   오브젝트 %d   정점 %d,
떨구지 않고 그 자리에서 바로 회복시킨다.,떨구지 않고 그 자리에서 바로 회복시킨다.,
말년 병장,말년 병장,
말년. 체력은 없고 한 방은 세다.,말년. 체력은 없고 한 방은 세다.,
말년의 여유. 체력이 두껍다.,말년의 여유. 체력이 두껍다.,
매점에서 건빵을 더 받아 둔다. 최대 체력이 오른다.,매점에서 건빵을 더 받아 둔다. 최대 체력이 오른다.,
면회 때 받은 부적. 좋은 명령서가 잘 뜬다.,면회 때 받은 부적. 좋은 명령서가 잘 뜬다.,
모기,모기,
모포,모포,
무기를 5번 진화시켰다.,무기를 5번 진화시켰다.,
무사고 표창,무사고 표창,
무전기,무전기,
무전기를 들고 다닌다. 획득 범위가 넓다.,무전기를 들고 다닌다. 획득 범위가 넓다.,
밑창이 살아 있는 전투화. 발이 가벼워진다.,밑창이 살아 있는 전투화. 발이 가벼워진다.,
박병장,박병장,
반사할 때마다 잠깐 무적. 무거운 만큼 안 뚫린다.,반사할 때마다 잠깐 무적. 무거운 만큼 안 뚫린다.,
반환점,반환점,
받는 피해 -1.2,받는 피해 -1.2,
"받는 피해를 줄이고, 붙은 놈을 밀어낸다.","받는 피해를 줄이고, 붙은 놈을 밀어낸다.",
발  급,발  급,
발밑에 물 장판,발밑에 물 장판,
발밑에 물을 흘린다. 밟은 놈이 알아서 아프다.,발밑에 물을 흘린다. 밟은 놈이 알아서 아프다.,
발이 빠르다. 대신 맷집이 얇다.,발이 빠르다. 대신 맷집이 얇다.,
방어 오라 + 근접 반사,방어 오라 + 근접 반사,
방탄모,방탄모,
방탄복,방탄복,
밸런스형. 아무 특징이 없다는 게 특징.,밸런스형. 아무 특징이 없다는 게 특징.,
밸런스형. 처음부터 함께한다.,밸런스형. 처음부터 함께한다.,
범위 2배. 예초기가 탈것이 됐다.,범위 2배. 예초기가 탈것이 됐다.,
범위가 넓다. 무전기 감도가 좋다.,범위가 넓다. 무전기 감도가 좋다.,
병      력,병      력,
병력 운용 명령서,병력 운용 명령서,
병력 운용 명령서 — 진급 %d회 대기,병력 운용 명령서 — 진급 %d회 대기,
병력 운용 및 전역 관리 시스템,병력 운용 및 전역 관리 시스템,
보상 %s,보상 %s,
보스 20마리. 검열이 무섭지 않다.,보스 20마리. 검열이 무섭지 않다.,
보스를 처음으로 잡았다.,보스를 처음으로 잡았다.,
보유 월급  %s,보유 월급  %s,
보유 월급  %s\n복무 %d회 · 전역 %d회 · 표창 %d장,보유 월급  %s\n복무 %d회 · 전역 %d회 · 표창 %d장,
부대 복귀,부대 복귀,
분대지원화기,분대지원화기,
불침번 유령,불침번 유령,
비네트,비네트,
빠르다. 앉아만 있어서 그런지 잘 뛴다.,빠르다. 앉아만 있어서 그런지 잘 뛴다.,
사단 검열관,사단 검열관,
사이버지식정보방,사이버지식정보방,
삽,삽,
삽날을 갈아 둔다. 모든 피해가 오른다.,삽날을 갈아 둔다. 모든 피해가 오른다.,
색수차,색수차,
선  택,선  택,
선택,선택,
